Value Set Name,Code System,Code,Code Description,,,
Encephalopathy,SNOMEDCT,204049003,Aplasia of cerebellum,,,
Encephalopathy,SNOMEDCT,253115005,Hydromyelocele with hydrocephalus,,,
Encephalopathy,SNOMEDCT,253156008,Cortical dysplasia with hemimegalencephaly,,,
Encephalopathy,SNOMEDCT,203954000,Spina bifida with hydrocephalus of late onset,,,
Encephalopathy,SNOMEDCT,7454002,Simple partial seizure with autonomic dysfunction,,,
Encephalopathy,SNOMEDCT,230240004,Progressive cerebellar ataxia with hypogonadism,,,
Encephalopathy,SNOMEDCT,246533006,Simple partial seizure with somatosensory or special sensory dysfunction,,,
Encephalopathy,SNOMEDCT,371313002,Congenital cerebellar cortical atrophy,,,
Encephalopathy,SNOMEDCT,702347001,Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy,,,
Encephalopathy,SNOMEDCT,253116006,Fissured spine with hydrocephalus,,,
Encephalopathy,SNOMEDCT,203951008,Sacral spina bifida with hydrocephalus - closed,,,
Encephalopathy,SNOMEDCT,237664006,Pituitary stalk compression hyperprolactinemia,,,
Encephalopathy,SNOMEDCT,231445001,Organic dissociative disorder,,,
Encephalopathy,SNOMEDCT,425007008,"Migraine without aura, not refractory",,,
Encephalopathy,SNOMEDCT,27873005,Spinopontine degeneration,,,
Encephalopathy,SNOMEDCT,237718009,Pituitary gland enlarged,,,
Encephalopathy,SNOMEDCT,230761005,Periventricular cerebrospinal fluid edema,,,
Encephalopathy,SNOMEDCT,312381000009108,Atrophy of cerebellum,,,
Encephalopathy,SNOMEDCT,434551000124106,"Benign childhood epilepsy with centrotemporal spikes, non-refractory",,,
Encephalopathy,SNOMEDCT,436601000124101,"Simple partial seizure with motor dysfunction, refractory",,,
Encephalopathy,SNOMEDCT,432011000124107,"Migrating partial seizures in infancy, refractory",,,
Encephalopathy,SNOMEDCT,432561000124100,"Typical absence seizure, non-refractory",,,
Encephalopathy,SNOMEDCT,431131000124105,"Myoclonic absence epilepsy, refractory",,,
Encephalopathy,SNOMEDCT,230274000,Frontal lobe degeneration with motor neurone disease,,,
Encephalopathy,SNOMEDCT,32680009,Nothnagel's syndrome,,,
Encephalopathy,SNOMEDCT,33871004,Phencyclidine-induced psychotic disorder with hallucinations,,,
Encephalopathy,SNOMEDCT,237663000,Idiopathic hyperprolactinemia,,,
Encephalopathy,SNOMEDCT,231446000,Organic emotionally labile disorder,,,
Encephalopathy,SNOMEDCT,230747000,Isolated fourth ventricle hydrocephalus,,,
Encephalopathy,SNOMEDCT,253136007,Lobar holoprosencephaly,,,
Encephalopathy,SNOMEDCT,253100009,Congenital endaural hernia,,,
Encephalopathy,SNOMEDCT,246530009,Versive seizure,,,
Encephalopathy,SNOMEDCT,254255007,Congenital malformation of anterior pituitary,,,
Encephalopathy,SNOMEDCT,253174004,Aplasia of the vermis,,,
Encephalopathy,SNOMEDCT,204039001,Anomalies of cerebrum,,,
Encephalopathy,SNOMEDCT,253203003,Hypoplasia of brain gyri,,,
Encephalopathy,SNOMEDCT,230778001,Monoplegic cerebral palsy affecting lower limb,,,
Encephalopathy,SNOMEDCT,80734006,Marinesco-Sjögren syndrome,,,
Encephalopathy,SNOMEDCT,39574006,Congenital hypoplasia of inner granular layer of cerebellum,,,
Encephalopathy,SNOMEDCT,609528003,Posterior fossa arachnoid cyst,,,
Encephalopathy,SNOMEDCT,253143001,Absence of septum pellucidum,,,
Encephalopathy,SNOMEDCT,23772009,Dysphonia of Gilles de la Tourette's syndrome,,,
Encephalopathy,SNOMEDCT,83759003,Adductor spastic dysphonia of musculoskeletal tension reaction,,,
Encephalopathy,SNOMEDCT,91471000119102,Drug-induced hypersomnia,,,
Encephalopathy,SNOMEDCT,702426001,GRN-related frontotemporal dementia,,,
Encephalopathy,SNOMEDCT,699328003,Myoclonic epilepsy myopathy sensory ataxia,,,
Encephalopathy,SNOMEDCT,111337001,Dyke-Davidoff-Masson syndrome,,,
Encephalopathy,SNOMEDCT,702317003,Chorea-athetoid cerebral palsy,,,
Encephalopathy,SNOMEDCT,609529006,Persistent Blake's pouch cyst,,,
Encephalopathy,SNOMEDCT,699299001,Neuroferritinopathy,,,
Encephalopathy,SNOMEDCT,609218006,Paroxysmal nonkinesigenic dyskinesia,,,
Encephalopathy,SNOMEDCT,699704002,Classic medulloblastoma,,,
Encephalopathy,SNOMEDCT,240448007,Legionella encephalopathy,,,
Encephalopathy,SNOMEDCT,268143001,Spina bifida with hydrocephalus - open,,,
Encephalopathy,SNOMEDCT,94789003,Neoplasm of uncertain behaviour of cerebrum,,,
Encephalopathy,SNOMEDCT,188293002,Malignant neoplasm of floor of cerebral ventricle,,,
Encephalopathy,SNOMEDCT,268956009,O/E - focal (Jacksonian) fit,,,
Encephalopathy,SNOMEDCT,163591007,O/E - petit mal fit,,,
Encephalopathy,SNOMEDCT,472916000,Toxic metabolic encephalopathy,,,
Encephalopathy,SNOMEDCT,91954009,"Azorean disease, type II",,,
Encephalopathy,SNOMEDCT,56155002,Hemispheric cerebral agenesis,,,
Encephalopathy,SNOMEDCT,111033008,Circumscribed atrophy of brain,,,
Encephalopathy,SNOMEDCT,280994000,Chronic confusional state,,,
Encephalopathy,SNOMEDCT,373666002,Pontoneocerebellar hypoplasia,,,
Encephalopathy,SNOMEDCT,237704002,Pituitary fibrosis with midline fibrosis,,,
Encephalopathy,SNOMEDCT,811000124106,Ethylmalonic encephalopathy,,,
Encephalopathy,SNOMEDCT,77274005,Idiopathic diabetes insipidus,,,
Encephalopathy,SNOMEDCT,85592008,Primary progressive cerebellar degeneration,,,
Encephalopathy,SNOMEDCT,237699005,Post-traumatic hypopituitarism,,,
Encephalopathy,SNOMEDCT,785471000000105,Frequent episodic tension-type headache,,,
Encephalopathy,SNOMEDCT,83168008,Psychoactive substance-induced organic amnestic disorder,,,
Encephalopathy,SNOMEDCT,702429008,Frontotemporal dementia with parkinsonism-17,,,
Encephalopathy,SNOMEDCT,702753003,Complete partial seizure of uncertain origin,,,
Encephalopathy,SNOMEDCT,10701000119109,Refractory complex partial seizure with impairment of consciousness,,,
Encephalopathy,SNOMEDCT,448563005,Functionless pituitary neoplasm,,,
Encephalopathy,SNOMEDCT,92427003,Benign neoplasm of temporal lobe,,,
Encephalopathy,SNOMEDCT,253144007,Cyst of septum pellucidum,,,
Encephalopathy,SNOMEDCT,126948004,Cerebellopontine angle meningioma,,,
Encephalopathy,SNOMEDCT,92050000,Benign neoplasm of cerebellum,,,
Encephalopathy,SNOMEDCT,359619007,Pinealoma,,,
Encephalopathy,SNOMEDCT,92276007,Benign neoplasm of parietal lobe,,,
Encephalopathy,SNOMEDCT,443333004,Medulloblastoma,,,
Encephalopathy,SNOMEDCT,430811000124100,"Benign familial neonatal seizures, refractory",,,
Encephalopathy,SNOMEDCT,276597004,Fifth day fits,,,
Encephalopathy,SNOMEDCT,87227007,Cerebral depression in newborn,,,
Encephalopathy,SNOMEDCT,203944004,Sacral spina bifida with hydrocephalus - open,,,
Encephalopathy,SNOMEDCT,421019006,Hypogonadotropic hypogonadism due to follicle-stimulating hormone deficiency,,,
Encephalopathy,SNOMEDCT,429831000124100,Cerebellar artery embolism,,,
Encephalopathy,SNOMEDCT,711482008,Cerebroretinal microangiopathy with calcifications and cysts,,,
Encephalopathy,SNOMEDCT,702356009,PPM-X syndrome,,,
Encephalopathy,SNOMEDCT,711158005,Spinocerebellar ataxia type 36,,,
Encephalopathy,SNOMEDCT,386805003,Mild cognitive disorder,,,
Encephalopathy,SNOMEDCT,80849007,Gigantism,,,
Encephalopathy,SNOMEDCT,439143004,Simpson-Golabi-Behmel syndrome,,,
Encephalopathy,SNOMEDCT,126959008,Neoplasm of cerebral meninges,,,
Encephalopathy,SNOMEDCT,92573003,Carcinoma in situ of craniopharyngeal duct,,,
Encephalopathy,SNOMEDCT,448705004,Mesial temporal lobe sclerosis,,,
Encephalopathy,SNOMEDCT,126967000,Neoplasm of olfactory nerve,,,
Encephalopathy,SNOMEDCT,428544003,Abscess of medulla oblongata,,,
Encephalopathy,SNOMEDCT,22471005,Hemispheric cerebellar agenesis,,,
Encephalopathy,SNOMEDCT,253131002,Hydrocephalus associated with late onset aqueduct stenosis,,,
Encephalopathy,SNOMEDCT,359624005,Acquired periventricular cyst,,,
Encephalopathy,SNOMEDCT,17944005,Cerebral calcification,,,
Encephalopathy,SNOMEDCT,23941000119108,Arnold Chiari type 2 without hydrocephalus,,,
Encephalopathy,SNOMEDCT,94808000,Neoplasm of uncertain behaviour of craniopharyngeal duct,,,
Encephalopathy,SNOMEDCT,45853006,Roussy-Lévy syndrome,,,
Encephalopathy,SNOMEDCT,126958000,Neoplasm of cerebral ventricle,,,
Encephalopathy,SNOMEDCT,399041003,Chastek paralysis,,,
Encephalopathy,SNOMEDCT,94489004,Secondary malignant neoplasm of pineal gland,,,
Encephalopathy,SNOMEDCT,448989001,Carcinoma of brain,,,
Encephalopathy,SNOMEDCT,135884009,Benign neoplasm of pons,,,
Encephalopathy,SNOMEDCT,230476001,Atypical cluster headache,,,
Encephalopathy,SNOMEDCT,237680001,Corticotroph hyperplasia,,,
Encephalopathy,SNOMEDCT,449901005,Hepatic encephalopathy in fulminant hepatic failure,,,
Encephalopathy,SNOMEDCT,417360004,Duplicative flashbacks,,,
Encephalopathy,SNOMEDCT,421182009,Episodic ataxia type 1,,,
Encephalopathy,SNOMEDCT,237577005,Abnormality of somatostatin secretion,,,
Encephalopathy,SNOMEDCT,230272001,Pick's disease with Pick cells and no Pick bodies,,,
Encephalopathy,SNOMEDCT,230358007,Hyponatremic encephalopathy,,,
Encephalopathy,SNOMEDCT,445166009,Cystic degeneration of brain,,,
Encephalopathy,SNOMEDCT,22811006,Leukoencephalopathy,,,
Encephalopathy,SNOMEDCT,94247005,Secondary malignant neoplasm of cerebral ventricle,,,
Encephalopathy,SNOMEDCT,94970005,Neoplasm of uncertain behaviour of olfactory nerve,,,
Encephalopathy,SNOMEDCT,92683008,Carcinoma in situ of pituitary gland,,,
Encephalopathy,SNOMEDCT,109561000,Cerebrofacial dysplasia,,,
Encephalopathy,SNOMEDCT,254943007,Benign tumour of choroid plexus,,,
Encephalopathy,SNOMEDCT,363473003,Malignant neoplasm of brainstem,,,
Encephalopathy,SNOMEDCT,255044008,Malignant pinealoma,,,
Encephalopathy,SNOMEDCT,188289008,Malignant neoplasm of hippocampus,,,
Encephalopathy,SNOMEDCT,954008,Renon-Delille syndrome,,,
Encephalopathy,SNOMEDCT,66988006,Abortive cerebellar ataxia,,,
Encephalopathy,SNOMEDCT,361117008,Female hypogonadotropic hypogonadism,,,
Encephalopathy,SNOMEDCT,422240004,Gonadotropin releasing factor deficiency,,,
Encephalopathy,SNOMEDCT,92114009,Benign neoplasm of frontal lobe,,,
Encephalopathy,SNOMEDCT,126954003,Neoplasm of frontal lobe,,,
Encephalopathy,SNOMEDCT,94267001,Secondary malignant neoplasm of craniopharyngeal duct,,,
Encephalopathy,SNOMEDCT,94968001,Neoplasm of uncertain behaviour of occipital lobe,,,
Encephalopathy,SNOMEDCT,237677002,Gonadotroph hyperplasia,,,
Encephalopathy,SNOMEDCT,420499009,Hypogonadotropic hypogonadism due to isolated gonadotropin deficiency,,,
Encephalopathy,SNOMEDCT,709417000,Spastic paraplegia type 15,,,
Encephalopathy,SNOMEDCT,230281007,Argyrophilic grain disease,,,
Encephalopathy,SNOMEDCT,128431009,Internal hydrocephalus,,,
Encephalopathy,SNOMEDCT,126956001,Neoplasm of parietal lobe,,,
Encephalopathy,SNOMEDCT,94448002,Secondary malignant neoplasm of occipital lobe,,,
Encephalopathy,SNOMEDCT,447655002,Benign neoplastic cyst of brain,,,
Encephalopathy,SNOMEDCT,74073002,Cerebellar hemangioblastomatosis,,,
Encephalopathy,SNOMEDCT,61165007,Hereditary nephrogenic diabetes insipidus,,,
Encephalopathy,SNOMEDCT,277508009,Pineal germ cell tumor,,,
Encephalopathy,SNOMEDCT,429841000124105,Superior cerebellar artery embolism,,,
Encephalopathy,SNOMEDCT,94766006,Neoplasm of uncertain behaviour of brain stem,,,
Encephalopathy,SNOMEDCT,188297001,Malignant neoplasm of midbrain,,,
Encephalopathy,SNOMEDCT,254964006,Pituitary mesoadenoma,,,
Encephalopathy,SNOMEDCT,94245002,Secondary malignant neoplasm of cerebellum,,,
Encephalopathy,SNOMEDCT,188285002,Malignant neoplasm of globus pallidus,,,
Encephalopathy,SNOMEDCT,702316007,Choreic cerebral palsy,,,
Encephalopathy,SNOMEDCT,702315006,Dystonic cerebral palsy,,,
Encephalopathy,SNOMEDCT,340421000009106,Ruminant polioencephalomalacia,,,
Encephalopathy,SNOMEDCT,445158000,Colloid cyst of pituitary gland,,,
Encephalopathy,SNOMEDCT,254959007,Thyrotroph adenoma,,,
Encephalopathy,SNOMEDCT,428965004,Low grade glioma of thalamus,,,
Encephalopathy,SNOMEDCT,254969001,Malignant tumor of olfactory tract,,,
Encephalopathy,SNOMEDCT,61337004,Electric chorea,,,
Encephalopathy,SNOMEDCT,431121000124107,"Lennox-Gastaut syndrome, non-refractory",,,
Encephalopathy,SNOMEDCT,286914008,"Pituitary, parathyroid, thymus disorder",,,
Encephalopathy,SNOMEDCT,11265003,Hemichorea,,,
Encephalopathy,SNOMEDCT,43105007,Choreoathetosis,,,
Encephalopathy,SNOMEDCT,431641000124107,Hereditary cerebellar atrophy,,,
Encephalopathy,SNOMEDCT,278855005,Frontal lobe degeneration,,,
Encephalopathy,SNOMEDCT,418143002,Cerebral degeneration,,,
Encephalopathy,SNOMEDCT,404906000,Postoperative confusion,,,
Encephalopathy,SNOMEDCT,230762003,High altitude cerebral oedema,,,
Encephalopathy,SNOMEDCT,285641009,Metastasis to brain of unknown primary,,,
Encephalopathy,SNOMEDCT,230766000,Multicystic encephalomalacia,,,
Encephalopathy,SNOMEDCT,448248006,Malignant neoplasm of axial suprasellar region of brain,,,
Encephalopathy,SNOMEDCT,94451009,Secondary malignant neoplasm of olfactory nerve,,,
Encephalopathy,SNOMEDCT,95126008,Neoplasm of uncertain behavior of temporal lobe,,,
Encephalopathy,SNOMEDCT,94986003,Neoplasm of uncertain behavior of parietal lobe,,,
Encephalopathy,SNOMEDCT,94248000,Secondary malignant neoplasm of cerebrum,,,
Encephalopathy,SNOMEDCT,91956006,"Azorean disease, type IV",,,
Encephalopathy,SNOMEDCT,253179009,Cerebellar cortical dysplasia,,,
Encephalopathy,SNOMEDCT,192072002,Organic memory impairment,,,
Encephalopathy,SNOMEDCT,449253005,Carcinoma of hypothalamus,,,
Encephalopathy,SNOMEDCT,254968009,Tumour of hypothalamus,,,
Encephalopathy,SNOMEDCT,363470000,Malignant neoplasm of occipital lobe,,,
Encephalopathy,SNOMEDCT,698737005,Postmeningitic obstructive hydrocephalus,,,
Encephalopathy,SNOMEDCT,698835006,Cerebral cortex myoclonus,,,
Encephalopathy,SNOMEDCT,335781000009109,Feline ischemic encephalopathy,,,
Encephalopathy,SNOMEDCT,188283009,Malignant neoplasm of corpus striatum,,,
Encephalopathy,SNOMEDCT,126947009,Cerebellopontine angle tumor,,,
Encephalopathy,SNOMEDCT,126955002,Neoplasm of temporal lobe,,,
Encephalopathy,SNOMEDCT,94788006,Neoplasm of uncertain behavior of cerebral ventricle,,,
Encephalopathy,SNOMEDCT,38576000,Nonfamilial hyperinsulinaemic isolated somatotropin deficiency,,,
Encephalopathy,SNOMEDCT,255112006,Malignant tumour of pituitary and hypothalamus,,,
Encephalopathy,SNOMEDCT,206478005,Kernicterus not due to isoimmunisation,,,
Encephalopathy,SNOMEDCT,407675009,Complex partial epileptic seizure,,,
Encephalopathy,SNOMEDCT,253151003,Nodular heterotopia,,,
Encephalopathy,SNOMEDCT,389271000,Spondyloenchondromatosis with basal ganglia calcification,,,
Encephalopathy,SNOMEDCT,703542000,Retinal detachment and occipital encephalocele,,,
Encephalopathy,SNOMEDCT,702450004,FOXG1 syndrome,,,
Encephalopathy,SNOMEDCT,191502008,"Acute confusional state, of infective origin",,,
Encephalopathy,SNOMEDCT,63814006,Abnormal cerebral signs in the newborn,,,
Encephalopathy,SNOMEDCT,54794009,Ectopic gray matter in centrum ovale,,,
Encephalopathy,SNOMEDCT,188301005,Malignant neoplasm of corpus callosum,,,
Encephalopathy,SNOMEDCT,52008007,Organic writer's cramp,,,
Encephalopathy,SNOMEDCT,253149002,Type 2 lissencephaly,,,
Encephalopathy,SNOMEDCT,12331003,Gigantism due to somatostatin deficiency,,,
Encephalopathy,SNOMEDCT,359621002,Acquired periventricular cysts of newborn,,,
Encephalopathy,SNOMEDCT,279953009,Familial neonatal seizures,,,
Encephalopathy,SNOMEDCT,31429000,Cerebral cortical dysgenesis,,,
Encephalopathy,SNOMEDCT,253114009,Myelocele with hydrocephalus,,,
Encephalopathy,SNOMEDCT,28140001000004100,Mass of posterior lobe of pituitary,,,
Encephalopathy,SNOMEDCT,318761000009100,Cholesterol granuloma of brain,,,
Encephalopathy,SNOMEDCT,431034009,Torsion dystonia,,,
Encephalopathy,SNOMEDCT,63576006,Mixed flaccid-spastic pseudobulbar dysphonia,,,
Encephalopathy,SNOMEDCT,194068002,Visual cortex disorder due to neoplasm,,,
Encephalopathy,SNOMEDCT,88845000,Explosive type organic personality disorder,,,
Encephalopathy,SNOMEDCT,42594001,Organic mood disorder of depressed type,,,
Encephalopathy,SNOMEDCT,192795000,Cerebral degeneration in Hunter's disease,,,
Encephalopathy,SNOMEDCT,237703008,Pituitary fibrosis,,,
Encephalopathy,SNOMEDCT,90162006,Syringopontia,,,
Encephalopathy,SNOMEDCT,230802007,Brainstem death,,,
Encephalopathy,SNOMEDCT,56509006,Adductor spastic dysphonia of organic voice tremor,,,
Encephalopathy,SNOMEDCT,50143004,Kernicterus of newborn,,,
Encephalopathy,SNOMEDCT,253113003,Rachischisis with hydrocephalus,,,
Encephalopathy,SNOMEDCT,203949009,Thoracic spina bifida with hydrocephalus - closed,,,
Encephalopathy,SNOMEDCT,253152005,Laminar heterotopia,,,
Encephalopathy,SNOMEDCT,699812002,Subependymal nodular heterotopia,,,
Encephalopathy,SNOMEDCT,84461004,Exencephaly,,,
Encephalopathy,SNOMEDCT,253147000,Type 1 lissencephaly,,,
Encephalopathy,SNOMEDCT,237671001,Gonadotrophin hypersecretion,,,
Encephalopathy,SNOMEDCT,943151000000109,Volatile inhalant-induced psychosis,,,
Encephalopathy,SNOMEDCT,188340000,Malignant tumour of craniopharyngeal duct,,,
Encephalopathy,SNOMEDCT,277369003,Hamartoma of brain,,,
Encephalopathy,SNOMEDCT,254945000,Embryonal tumour of brain,,,
Encephalopathy,SNOMEDCT,401045008,Dysplasia of cerebral cortex,,,
Encephalopathy,SNOMEDCT,307781000000109,Worster - Drought syndrome,,,
Encephalopathy,SNOMEDCT,230328001,Isolated oromandibular dystonia,,,
Encephalopathy,SNOMEDCT,80381005,Adductor spastic dysphonia of dystonia,,,
Encephalopathy,SNOMEDCT,128328009,Suprasellar syndrome,,,
Encephalopathy,SNOMEDCT,230330004,Occupational dystonia,,,
Encephalopathy,SNOMEDCT,73064001,Thyrotropin overproduction,,,
Encephalopathy,SNOMEDCT,230806005,Brain ventricular shunt infection,,,
Encephalopathy,SNOMEDCT,253148005,Miller Dieker syndrome,,,
Encephalopathy,SNOMEDCT,163593005,O/E - psychomotor fit,,,
Encephalopathy,SNOMEDCT,253117002,Closed spina bifida with Arnold-Chiari malformation,,,
Encephalopathy,SNOMEDCT,239026002,Hypohidrosis-diabetes insipidus syndrome,,,
Encephalopathy,SNOMEDCT,203948001,Cervical spina bifida with hydrocephalus - closed,,,
Encephalopathy,SNOMEDCT,253170008,Hemimegalencephaly,,,
Encephalopathy,SNOMEDCT,417658006,Holoanencephaly,,,
Encephalopathy,SNOMEDCT,277921008,Atelencephaly,,,
Encephalopathy,SNOMEDCT,253145008,Reduction anomaly of hypothalamus,,,
Encephalopathy,SNOMEDCT,19090001000004100,Metastatic neoplasm of left basal ganglion,,,
Encephalopathy,SNOMEDCT,4952001,Cerebral irritability in newborn,,,
Encephalopathy,SNOMEDCT,237725002,Defective osmoregulation,,,
Encephalopathy,SNOMEDCT,7052005,Alcohol hallucinosis,,,
Encephalopathy,SNOMEDCT,438513002,Cerebral degeneration due to Parkinson's disease,,,
Encephalopathy,SNOMEDCT,237683004,Panhypopituitarism - X-linked,,,
Encephalopathy,SNOMEDCT,230293003,Carbon monoxide-induced parkinsonism,,,
Encephalopathy,SNOMEDCT,432141000124105,Central visual impairment,,,
Encephalopathy,SNOMEDCT,4523006,Babinski-Nageotte syndrome,,,
Encephalopathy,SNOMEDCT,34184002,Corpus callosum syndrome,,,
Encephalopathy,SNOMEDCT,82800008,Dipsogenic diabetes insipidus,,,
Encephalopathy,SNOMEDCT,189198006,Epileptic drop attack,,,
Encephalopathy,SNOMEDCT,246551007,Absence seizure with automatisms,,,
Encephalopathy,SNOMEDCT,42365007,Atonic seizure,,,
Encephalopathy,SNOMEDCT,52125007,Gustatory seizure,,,
Encephalopathy,SNOMEDCT,230294009,Manganese-induced parkinsonism,,,
Encephalopathy,SNOMEDCT,63983005,Inhalant-induced psychotic disorder with hallucinations,,,
Encephalopathy,SNOMEDCT,69017006,Cortical vertigo,,,
Encephalopathy,SNOMEDCT,9526000,Pineal gland dysfunction,,,
Encephalopathy,SNOMEDCT,434531000124104,"Atypical absence seizure, non-refractory",,,
Encephalopathy,SNOMEDCT,52713000,Infantile neuroaxonal dystrophy,,,
Encephalopathy,SNOMEDCT,51371005,Pituitary dwarfism with normal somatotropin level AND low somatomedin,,,
Encephalopathy,SNOMEDCT,711487002,MECP2-related severe neonatal encephalopathy,,,
Encephalopathy,SNOMEDCT,74737003,Complex partial seizure + impairment consciousness at onset,,,
Encephalopathy,SNOMEDCT,44395000,Spastic tetraplegia with rigidity syndrome,,,
Encephalopathy,SNOMEDCT,51443000,Amphetamine-induced psychotic disorder with hallucinations,,,
Encephalopathy,SNOMEDCT,204046005,Anomalies of hypothalamus,,,
Encephalopathy,SNOMEDCT,307355007,Congenital athetosis,,,
Encephalopathy,SNOMEDCT,26595007,Congenital absence of part of brain,,,
Encephalopathy,SNOMEDCT,231457005,Organic psychosyndrome,,,
Encephalopathy,SNOMEDCT,21095000,Secondary hyperprolactinaemia,,,
Encephalopathy,SNOMEDCT,442511009,"Progressive encephalopathy with edema, hypsarrhythmia and optic atrophy syndrome",,,
Encephalopathy,SNOMEDCT,237666008,Physiological hyperprolactinemia,,,
Encephalopathy,SNOMEDCT,432471000124108,"Post-traumatic epilepsy, non-refractory",,,
Encephalopathy,SNOMEDCT,230758009,Transtentorial herniation upwards,,,
Encephalopathy,SNOMEDCT,230239001,Progressive cerebellar ataxia with palatal myoclonus,,,
Encephalopathy,SNOMEDCT,58638006,Pseudoporencephaly,,,
Encephalopathy,SNOMEDCT,77553008,Opticocochleodentate degeneration,,,
Encephalopathy,SNOMEDCT,231455002,Organic pseudoretarded personality,,,
Encephalopathy,SNOMEDCT,425365009,Refractory migraine variants,,,
Encephalopathy,SNOMEDCT,253168004,Familial megalencephaly,,,
Encephalopathy,SNOMEDCT,21634003,Borjeson-Forssman-Lehmann syndrome,,,
Encephalopathy,SNOMEDCT,11701009,Hemicephaly,,,
Encephalopathy,SNOMEDCT,254256008,Congenital malformation of posterior pituitary,,,
Encephalopathy,SNOMEDCT,371079004,Paraplegic cerebral palsy,,,
Encephalopathy,SNOMEDCT,204074000,Multiple brain anomalies,,,
Encephalopathy,SNOMEDCT,92904001,Congenital abnormal shape of cerebellum,,,
Encephalopathy,SNOMEDCT,360353005,Thyrotoxicosis due to pituitary thyroid hormone resistance,,,
Encephalopathy,SNOMEDCT,702319000,Bilateral cerebral palsy,,,
Encephalopathy,SNOMEDCT,12394009,Miscarriage with cerebral anoxia,,,
Encephalopathy,SNOMEDCT,237693006,Idiopathic ACTH deficiency,,,
Encephalopathy,SNOMEDCT,319321000009103,Leukoencephalomalacia,,,
Encephalopathy,SNOMEDCT,237697007,Oxytocin deficiency,,,
Encephalopathy,SNOMEDCT,267389001,Post-birth injury hypopituitarism,,,
Encephalopathy,SNOMEDCT,432001000124109,Migrating partial seizures in infancy,,,
Encephalopathy,SNOMEDCT,230323005,Spasmodic retrocollis,,,
Encephalopathy,SNOMEDCT,312431000009100,Leukoencephalomyelopathy,,,
Encephalopathy,SNOMEDCT,57441008,Disorder of visual cortex associated with vascular disorder,,,
Encephalopathy,SNOMEDCT,15782007,MPTP-induced parkinsonism,,,
Encephalopathy,SNOMEDCT,95638000,Localized cranial lesion,,,
Encephalopathy,SNOMEDCT,237710002,Pituitary granuloma,,,
Encephalopathy,SNOMEDCT,318451000009106,Cerebellar abiotrophy,,,
Encephalopathy,SNOMEDCT,440211000124100,"Generalized convulsive epilepsy, non-refractory",,,
Encephalopathy,SNOMEDCT,27270004,Pituitary dwarfism with large sella turcica,,,
Encephalopathy,SNOMEDCT,44423001,Early myoclonic encephalopathy,,,
Encephalopathy,SNOMEDCT,271386001,Post-infective hypopituitarism,,,
Encephalopathy,SNOMEDCT,231456001,Postleucotomy syndrome,,,
Encephalopathy,SNOMEDCT,413807008,Cerebellar hernia,,,
Encephalopathy,SNOMEDCT,230807001,Brain ventricular shunt displacement,,,
Encephalopathy,SNOMEDCT,11387009,Psychoactive substance-induced organic mental disorder,,,
Encephalopathy,SNOMEDCT,76043009,"Hereditary sensory-motor neuropathy, type V",,,
Encephalopathy,SNOMEDCT,94471000,Secondary malignant neoplasm of parietal lobe,,,
Encephalopathy,SNOMEDCT,127025000,Neoplasm of craniopharyngeal duct,,,
Encephalopathy,SNOMEDCT,188298006,Malignant neoplasm of pons,,,
Encephalopathy,SNOMEDCT,255200003,Benign tumour of hypothalamus,,,
Encephalopathy,SNOMEDCT,254936001,Glial tumor of brain,,,
Encephalopathy,SNOMEDCT,444545003,Glioma of brainstem,,,
Encephalopathy,SNOMEDCT,93930008,Primary malignant neoplasm of olfactory nerve,,,
Encephalopathy,SNOMEDCT,22306000,Transient somatotropin deficiency,,,
Encephalopathy,SNOMEDCT,363469001,Malignant neoplasm of parietal lobe,,,
Encephalopathy,SNOMEDCT,430071000124102,"Early myoclonic encephalopathy, non-refractory",,,
Encephalopathy,SNOMEDCT,277340007,Tension pneumocephalus,,,
Encephalopathy,SNOMEDCT,230352008,Encephalopathy due to vitamin deficiency,,,
Encephalopathy,SNOMEDCT,193030005,Migraine variants,,,
Encephalopathy,SNOMEDCT,237512007,Thyrotoxicosis due to TSHoma,,,
Encephalopathy,SNOMEDCT,253181006,Olive dysplasia,,,
Encephalopathy,SNOMEDCT,253140003,Partial agenesis of corpus callosum,,,
Encephalopathy,SNOMEDCT,2041006,Eunuchoid gigantism,,,
Encephalopathy,SNOMEDCT,57480000,Known OR suspected fetal anencephaly affecting obstetrical care,,,
Encephalopathy,SNOMEDCT,188339002,Malignant neoplasm of pituitary gland and craniopharyngeal duct,,,
Encephalopathy,SNOMEDCT,698738000,Brainstem myoclonus,,,
Encephalopathy,SNOMEDCT,698837003,Posttraumatic porencephalic cyst of brain,,,
Encephalopathy,SNOMEDCT,237714006,Hamartoma of hypothalamus,,,
Encephalopathy,SNOMEDCT,254966008,Suprasellar extension of pituitary adenoma,,,
Encephalopathy,SNOMEDCT,703536004,Megalencephalic leukoencephalopathy with subcortical cysts,,,
Encephalopathy,SNOMEDCT,698279003,X-linked dystonia parkinsonism,,,
Encephalopathy,SNOMEDCT,698736001,Postoperative communicating hydrocephalus,,,
Encephalopathy,SNOMEDCT,702949005,Proopiomelanocortin deficiency syndrome,,,
Encephalopathy,SNOMEDCT,204067005,Single congenital cerebral cyst,,,
Encephalopathy,SNOMEDCT,18200000,Autosomal recessive isolated somatotropin deficiency,,,
