Value Set Name,Code System,Code,Code Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,CPT,99350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,HCPCS, G0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPS Encounter 238,HCPCS, G0439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary Incontinence Assessment,SNOMEDCT,252908007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary Incontinence Assessment,SNOMEDCT,704075006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of Care,SNOMEDCT,429111000000000,Documentation of care summary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,18761-7,Provider-unspecified Transfer summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,28616-1,Physician Transfer note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,28651-8,Nurse Transfer note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,34755-9,Critical care medicine Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,34770-8,General medicine Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68482-9,Nurse Hospital Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68565-1,Obstetrics and Gynecology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68569-3,Occupational therapy Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68583-4,Orthopaedic surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68596-6,Plastic surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68618-8,Adolescent medicine Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68632-9,Allergy and immunology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68647-7,Child and adolescent psychiatry Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68660-0,Clinical genetics Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68669-1,Developmental-behavioral pediatrics Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68680-8,Multi-specialty program Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68704-6,Neurology with special qualifications in child neurology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68715-2,Pain medicine Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68726-9,Pediatric cardiology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68737-6,Pediatric endocrinology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68745-9,Pediatric gastroenterology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68756-6,Pediatric hematology-oncology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68764-0,Pediatric infectious diseases Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68772-3,Pediatric nephrology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68777-2,Pediatric otolaryngology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68786-3,Pediatric pulmonology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68793-9,Pediatric rheumatology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68801-0,Pediatric surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68811-9,Pediatric urology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68863-0,Pediatric transplant hepatology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68883-8,Pediatrics Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68884-6,Pediatrics Hospital Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,68887-9,Ophthalmology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,77406-7,Anesthesiology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,77414-1,Cardiology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78340-7,Colon and rectal surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78341-5,Emergency department Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78488-4,Mental health Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78489-2,Neonatal perinatal medicine Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78490-0,Nephrology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78491-8,Neurology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78492-6,Neurological surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78493-4,Oncology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78502-2,Cardiopulmonary Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78680-6,Vascular surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78681-4,Cardiothoracic surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78682-2,Palliative care Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78683-0,Transplant surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78684-8,Oral and Maxillofacial Surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78729-1,Surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,78736-6,Urology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,80580-4,Cardiac surgery Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,80735-4,Otolaryngology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,80808-9,Surgical oncology Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,80816-2,Geriatric medicine Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,81221-4,Transfer summary note - recommended C-CDA R2.0 sections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,81614-0,Transfer summary note - recommended C-CDA R2.1 sections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,LP212259-8,Transfer summary note - recommended C-CDA R2.0 sections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,LP212493-3,Transfer summary note - recommended C-CDA R2.1 sections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Document,LOINC,LP73546-1,Transfer summary note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,174351000,Educational session with patient (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,226013008,Educating patient in reason for their specific care (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,311401005,Patient education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,108247002,Visual correction training AND/OR re-education procedure (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,113145005,"Biofeedback training in conduction disorder, arrhythmia (regime/therapy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,113155009,Myocardial infarction education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,11581009,Swinging transfer training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,11816003,Diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,118629009,Functional training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,11924009,Orthotics training of upper extremities (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,12569007,"Biofeedback, regulation of blood pressure (regime/therapy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,135885005,Impotence education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,135892000,Antenatal education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,1453000,"Biofeedback, galvanic skin response (regime/therapy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,15502008,Wound treatment education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,16311004,Condom use education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,170884001,Trial without catheter (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,170961007,Menopause dietary education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,170962000,Menopause sexual education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171010005,Colostomy education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171012002,Pre-pregnancy education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171027002,Contraceptive implant education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171040007,Cervical cytology education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171044003,Immunization education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171047005,Drugs of addiction education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171053005,Infant feeding education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171054004,Pregnancy diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171055003,Pregnancy smoking education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171056002,Pregnancy exercise education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171057006,Pregnancy alcohol education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171058001,Drugs in pregnancy education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171059009,Pregnancy dental education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171060004,Maternity grant education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171061000,Maternity benefit education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171062007,Maternity milk and vitamins education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171063002,Pregnancy prescription exemption education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171064008,Mothercraft education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171071003,Foreign travel education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171074006,Requires protection against malaria (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171075007,Cholera outbreak education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171076008,Rabies outbreak education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171077004,Meningitis outbreak education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,171078009,Malaria outbreak education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,17120007,"Biofeedback, strain gage (regime/therapy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,17629007,Prenatal care education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183053008,Over-the-counter medication education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183057009,Gluten-free diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183058004,Phenylalanine-free diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183059007,High fiber diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183060002,Low residue diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183061003,Low fat diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183062005,Low cholesterol diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183063000,Low salt diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183065007,Low carbohydrate diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183066008,Low protein diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183067004,High protein diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183068009,Milk-free diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183069001,Egg-free diet patient education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183070000,Vegetarian diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183071001,Vegan diet education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183206000,Colostomy aid education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183210002,Ileostomy aid education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183215007,Gastrostomy aid education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183274001,Speech training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183281008,Lip-reading training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183282001,Finger-reading training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183288002,Muscular re-education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183289005,Neuromuscular re-education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183293004,Coordination training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183295006,Locomotor training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183297003,Leg prosthesis use training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183314008,Joint movement training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183327007,Cardiovascular retraining (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183349001,Work-oriented specific training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,183353004,Vocational resettlement (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,18463003,Use of ergometer bicycle (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,2153008,Cardiac catheterization education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,21784000,Respiratory technique education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,21910006,Bathtub transfer training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223412000,Efficacy of treatment education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223413005,Signs and symptoms education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223418001,Medication efficacy education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223419009,Medication failure risk education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223420003,Drug dosage medication (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223425008,Types of available equipment education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223426009,Equipment use education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223428005,Types of appliances education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223433009,Benefits education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223464006,Procedure education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,223467004,Prosthesis fitting education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,225320002,Safer handling and movement training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,22532005,Training in Braille or Moon (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,225323000,Smoking cessation education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,225324006,Smoking effects education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,225366007,Planned voiding (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,225950003,Planned voiding two hourly (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,225967005,Self-care patient education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,226013008,Educating patient in reason for their specific care (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,226065005,Weight transfer practice (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,226067002,Food hygiene education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,22615000,Body alignment education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228532003,Motor retraining technique (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228534002,Developmental therapy (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228538004,Upper limb training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228539007,Lower limb training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228541008,Perceptual training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228542001,Perceptual motor retraining (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228543006,Sensory retraining (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228546003,Orientation training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228548002,Concept formation training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228550005,Attention training (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228551009,Memory retraining (regime/therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228552002,Problem solving training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228559006,Social skills training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228560001,Anxiety management training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228572007,Time management training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228574008,Assertiveness training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228582008,Errorless learning technique (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228588007,Parenting skills training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228589004,Sibling relationships training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228608000,Upper limb prosthetic training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228609008,Myoelectric prosthetic training (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Education,SNOMEDCT,228632007,Energy conservation education (procedure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
