code_type,code_value,description,hcc_id
ICD10CM,E09.00,Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),17
ICD10CM,E09.01,Drug or chemical induced diabetes mellitus with hyperosmolarity with coma,17
ICD10CM,E09.10,Drug or chemical induced diabetes mellitus with ketoacidosis without coma,17
ICD10CM,E09.11,Drug or chemical induced diabetes mellitus with ketoacidosis with coma,17
ICD10CM,E09.641,Drug or chemical induced diabetes mellitus with hypoglycemia with coma,17
ICD10CM,E10.10,Type 1 diabetes mellitus with ketoacidosis without coma,17
ICD10CM,E10.11,Type 1 diabetes mellitus with ketoacidosis with coma,17
ICD10CM,E10.641,Type 1 diabetes mellitus with hypoglycemia with coma,17
ICD10CM,E11.00,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),17
ICD10CM,E11.01,Type 2 diabetes mellitus with hyperosmolarity with coma,17
ICD10CM,E11.10,Type 2 diabetes mellitus with ketoacidosis without coma,17
ICD10CM,E11.11,Type 2 diabetes mellitus with ketoacidosis with coma,17
ICD10CM,E11.641,Type 2 diabetes mellitus with hypoglycemia with coma,17
ICD10CM,E13.00,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),17
ICD10CM,E13.01,Other specified diabetes mellitus with hyperosmolarity with coma,17
ICD10CM,E13.10,Other specified diabetes mellitus with ketoacidosis without coma,17
ICD10CM,E13.11,Other specified diabetes mellitus with ketoacidosis with coma,17
ICD10CM,E13.641,Other specified diabetes mellitus with hypoglycemia with coma,17
ICD10CM,E08.21,Diabetes mellitus due to underlying condition with diabetic nephropathy,18
ICD10CM,E08.22,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,18
ICD10CM,E08.29,Diabetes mellitus due to underlying condition with other diabetic kidney complication,18
ICD10CM,E08.311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,18
ICD10CM,E08.319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,18
ICD10CM,E08.3211,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E08.3212,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E08.3213,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E08.3219,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E08.3291,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E08.3292,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E08.3293,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E08.3299,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E08.3311,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E08.3312,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E08.3313,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E08.3319,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E08.3391,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E08.3392,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E08.3393,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E08.3399,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E08.3411,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E08.3412,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E08.3413,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E08.3419,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E08.3491,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E08.3492,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E08.3493,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E08.3499,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E08.3511,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E08.3512,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E08.3513,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E08.3519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E08.3521,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",18
ICD10CM,E08.3522,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",18
ICD10CM,E08.3523,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",18
ICD10CM,E08.3529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",18
ICD10CM,E08.3531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",18
ICD10CM,E08.3532,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",18
ICD10CM,E08.3533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",18
ICD10CM,E08.3539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",18
ICD10CM,E08.3541,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",18
ICD10CM,E08.3542,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",18
ICD10CM,E08.3543,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",18
ICD10CM,E08.3549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",18
ICD10CM,E08.3551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",18
ICD10CM,E08.3552,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",18
ICD10CM,E08.3553,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral",18
ICD10CM,E08.3559,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye",18
ICD10CM,E08.3591,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E08.3592,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E08.3593,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E08.3599,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E08.36,Diabetes mellitus due to underlying condition with diabetic cataract,18
ICD10CM,E08.37X1,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye",18
ICD10CM,E08.37X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",18
ICD10CM,E08.37X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",18
ICD10CM,E08.37X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",18
ICD10CM,E08.39,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,18
ICD10CM,E08.40,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",18
ICD10CM,E08.41,Diabetes mellitus due to underlying condition with diabetic mononeuropathy,18
ICD10CM,E08.42,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,18
ICD10CM,E08.43,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,18
ICD10CM,E08.44,Diabetes mellitus due to underlying condition with diabetic amyotrophy,18
ICD10CM,E08.49,Diabetes mellitus due to underlying condition with other diabetic neurological complication,18
ICD10CM,E08.51,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene,18
ICD10CM,E08.52,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,18
ICD10CM,E08.59,Diabetes mellitus due to underlying condition with other circulatory complications,18
ICD10CM,E08.610,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy,18
ICD10CM,E08.618,Diabetes mellitus due to underlying condition with other diabetic arthropathy,18
ICD10CM,E08.620,Diabetes mellitus due to underlying condition with diabetic dermatitis,18
ICD10CM,E08.621,Diabetes mellitus due to underlying condition with foot ulcer,18
ICD10CM,E08.622,Diabetes mellitus due to underlying condition with other skin ulcer,18
ICD10CM,E08.628,Diabetes mellitus due to underlying condition with other skin complications,18
ICD10CM,E08.630,Diabetes mellitus due to underlying condition with periodontal disease,18
ICD10CM,E08.638,Diabetes mellitus due to underlying condition with other oral complications,18
ICD10CM,E08.649,Diabetes mellitus due to underlying condition with hypoglycemia without coma,18
ICD10CM,E08.65,Diabetes mellitus due to underlying condition with hyperglycemia,18
ICD10CM,E08.69,Diabetes mellitus due to underlying condition with other specified complication,18
ICD10CM,E08.8,Diabetes mellitus due to underlying condition with unspecified complications,18
ICD10CM,E09.21,Drug or chemical induced diabetes mellitus with diabetic nephropathy,18
ICD10CM,E09.22,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease,18
ICD10CM,E09.29,Drug or chemical induced diabetes mellitus with other diabetic kidney complication,18
ICD10CM,E09.311,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema,18
ICD10CM,E09.319,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema,18
ICD10CM,E09.3211,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E09.3212,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E09.3213,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E09.3219,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E09.3291,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E09.3292,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E09.3293,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E09.3299,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E09.3311,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E09.3312,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E09.3313,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E09.3319,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E09.3391,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E09.3392,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E09.3393,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E09.3399,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E09.3411,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E09.3412,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E09.3413,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E09.3419,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E09.3491,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E09.3492,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E09.3493,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E09.3499,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E09.3511,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E09.3512,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E09.3513,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E09.3519,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E09.3521,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",18
ICD10CM,E09.3522,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",18
ICD10CM,E09.3523,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",18
ICD10CM,E09.3529,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",18
ICD10CM,E09.3531,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",18
ICD10CM,E09.3532,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",18
ICD10CM,E09.3533,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",18
ICD10CM,E09.3539,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",18
ICD10CM,E09.3541,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",18
ICD10CM,E09.3542,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",18
ICD10CM,E09.3543,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",18
ICD10CM,E09.3549,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",18
ICD10CM,E09.3551,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, right eye",18
ICD10CM,E09.3552,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, left eye",18
ICD10CM,E09.3553,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",18
ICD10CM,E09.3559,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",18
ICD10CM,E09.3591,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E09.3592,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E09.3593,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E09.3599,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E09.36,Drug or chemical induced diabetes mellitus with diabetic cataract,18
ICD10CM,E09.37X1,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",18
ICD10CM,E09.37X2,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",18
ICD10CM,E09.37X3,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",18
ICD10CM,E09.37X9,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",18
ICD10CM,E09.39,Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication,18
ICD10CM,E09.40,"Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified",18
ICD10CM,E09.41,Drug or chemical induced diabetes mellitus with neurological complications with diabetic mononeuropathy,18
ICD10CM,E09.42,Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy,18
ICD10CM,E09.43,Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy,18
ICD10CM,E09.44,Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy,18
ICD10CM,E09.49,Drug or chemical induced diabetes mellitus with neurological complications with other diabetic neurological complication,18
ICD10CM,E09.51,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene,18
ICD10CM,E09.52,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene,18
ICD10CM,E09.59,Drug or chemical induced diabetes mellitus with other circulatory complications,18
ICD10CM,E09.610,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,18
ICD10CM,E09.618,Drug or chemical induced diabetes mellitus with other diabetic arthropathy,18
ICD10CM,E09.620,Drug or chemical induced diabetes mellitus with diabetic dermatitis,18
ICD10CM,E09.621,Drug or chemical induced diabetes mellitus with foot ulcer,18
ICD10CM,E09.622,Drug or chemical induced diabetes mellitus with other skin ulcer,18
ICD10CM,E09.628,Drug or chemical induced diabetes mellitus with other skin complications,18
ICD10CM,E09.630,Drug or chemical induced diabetes mellitus with periodontal disease,18
ICD10CM,E09.638,Drug or chemical induced diabetes mellitus with other oral complications,18
ICD10CM,E09.649,Drug or chemical induced diabetes mellitus with hypoglycemia without coma,18
ICD10CM,E09.65,Drug or chemical induced diabetes mellitus with hyperglycemia,18
ICD10CM,E09.69,Drug or chemical induced diabetes mellitus with other specified complication,18
ICD10CM,E09.8,Drug or chemical induced diabetes mellitus with unspecified complications,18
ICD10CM,E10.21,Type 1 diabetes mellitus with diabetic nephropathy,18
ICD10CM,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,18
ICD10CM,E10.29,Type 1 diabetes mellitus with other diabetic kidney complication,18
ICD10CM,E10.311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,18
ICD10CM,E10.319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,18
ICD10CM,E10.3211,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E10.3212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E10.3213,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E10.3219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E10.3291,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E10.3292,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E10.3293,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E10.3299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E10.3311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E10.3312,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E10.3313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E10.3319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E10.3391,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E10.3392,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E10.3393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E10.3399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E10.3411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E10.3412,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E10.3413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E10.3419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E10.3491,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E10.3492,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E10.3493,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E10.3499,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E10.3511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",18
ICD10CM,E10.3512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",18
ICD10CM,E10.3513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",18
ICD10CM,E10.3519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",18
ICD10CM,E10.3521,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",18
ICD10CM,E10.3522,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",18
ICD10CM,E10.3523,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",18
ICD10CM,E10.3529,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",18
ICD10CM,E10.3531,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",18
ICD10CM,E10.3532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",18
ICD10CM,E10.3533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",18
ICD10CM,E10.3539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",18
ICD10CM,E10.3541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",18
ICD10CM,E10.3542,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",18
ICD10CM,E10.3543,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",18
ICD10CM,E10.3549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",18
ICD10CM,E10.3551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",18
ICD10CM,E10.3552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",18
ICD10CM,E10.3553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",18
ICD10CM,E10.3559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",18
ICD10CM,E10.3591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",18
ICD10CM,E10.3592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",18
ICD10CM,E10.3593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",18
ICD10CM,E10.3599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",18
ICD10CM,E10.36,Type 1 diabetes mellitus with diabetic cataract,18
ICD10CM,E10.37X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",18
ICD10CM,E10.37X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",18
ICD10CM,E10.37X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",18
ICD10CM,E10.37X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",18
ICD10CM,E10.39,Type 1 diabetes mellitus with other diabetic ophthalmic complication,18
ICD10CM,E10.40,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",18
ICD10CM,E10.41,Type 1 diabetes mellitus with diabetic mononeuropathy,18
ICD10CM,E10.42,Type 1 diabetes mellitus with diabetic polyneuropathy,18
ICD10CM,E10.43,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,18
ICD10CM,E10.44,Type 1 diabetes mellitus with diabetic amyotrophy,18
ICD10CM,E10.49,Type 1 diabetes mellitus with other diabetic neurological complication,18
ICD10CM,E10.51,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,18
ICD10CM,E10.52,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,18
ICD10CM,E10.59,Type 1 diabetes mellitus with other circulatory complications,18
ICD10CM,E10.610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,18
ICD10CM,E10.618,Type 1 diabetes mellitus with other diabetic arthropathy,18
ICD10CM,E10.620,Type 1 diabetes mellitus with diabetic dermatitis,18
ICD10CM,E10.621,Type 1 diabetes mellitus with foot ulcer,18
ICD10CM,E10.622,Type 1 diabetes mellitus with other skin ulcer,18
ICD10CM,E10.628,Type 1 diabetes mellitus with other skin complications,18
ICD10CM,E10.630,Type 1 diabetes mellitus with periodontal disease,18
ICD10CM,E10.638,Type 1 diabetes mellitus with other oral complications,18
ICD10CM,E10.649,Type 1 diabetes mellitus with hypoglycemia without coma,18
ICD10CM,E10.65,Type 1 diabetes mellitus with hyperglycemia,18
ICD10CM,E10.69,Type 1 diabetes mellitus with other specified complication,18
ICD10CM,E10.8,Type 1 diabetes mellitus with unspecified complications,18
ICD10CM,E11.21,Type 2 diabetes mellitus with diabetic nephropathy,18
ICD10CM,E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease,18
